Sample id	Treat	AX	CELL	Piglet	Sex	Genotype	Sow	Parity	BiW	CI by Theil	Day	FScore d6	FScore d13	FScore d19	FScore d22	BW d23/24 kg	"ES Treitz, mg/ml"	"ES ileum, mg/ml"	"Empty stomach weight, kg"	Stomach cont	"length SI, cm"	"Empty weight SI, g"	"Full weight LI, kg"	"Length LI,cm"	"Empty weight LI, kg"
57	1	N	N	62097	B	SR	2407	6	1.45	425	2	1	3	1	3	8.85	0.0061	0.0049	0.0424	intermediate	610	199	0.109	142	0.0519
25	1	N	N	62156	B	SR	2569	4	1.59	545	1	1	3	2	0	8.71	0.0194	0.0055	0.0408	vloeibaar	740	198	0.0906	108	0.057
41	1	N	N	62206	Z	RR	2607	3	1.50	642	2	1	2	2	2	9.63	0.0147	0.0057	0.0535	vloeibaar	710	261	0.1164	126	0.0728
49	1	N	N	62212	B	RR	2607	3	1.68	539	2	1	3	2	3	9.43	0.0274	0.0078	0.0577	intermediate	740	232	0.13	142	0.0662
18	1	N	N	62332	B	SR	2614	3	1.20	352	1	1	3	2	0	6.61	0.0082	0.0247	0.0360	dik	610	167	0.144	118	0.0555
21	1	N	N	62325	Z	RR	2614	3	1.43	486	1	1	3	1	3	7.73	0.0185	0.0064	0.0497	intermediate	760	207	0.1085	140	0.0565
33	1	N	N	62331	B	RR	2614	3	1.27	303	2	1	2	1	3	7.75	0.0055	0.0670	0.0375	vloeibaar	700	190	0.1165	140	0.0751
53	1	N	N	62329	B	SR	2614	3	1.07	301	2	1	3	1	3	6.66	0.0124	0.0143	0.0400	intermediate	560	195	0.093	120	0.0579
13	1	N	N	62256	Z	RR	2653	2	1.01	406	1	1	3	3	0	7.28	0.0138	0.0264	0.0366	dik	650	201	0.1679	128	0.0725
29	1	N	N	62258	B	RR	2653	2	1.24	311	1	3	3	1	2	7.7	0.0123	.	0.0350	vloeibaar	610	202	0.0982	90	0.0552
5	1	N	N	62264	Z	RR	2658	2	1.75	426	1	1	3	2	0	8.86	.	0.0074	0.0610	vloeibaar	880	243	0.0922	104	0.055
37	1	N	N	62266	Z	SR	2658	2	1.81	476	2	1	3	2	0	8.35	0.0153	0.0132	0.0515	dik	700	198	0.118	130	0.0677
1	1	N	N	62019	B	SR	2689	1	1.35	422	1	1	3	3	0	6.53	0.0801	0.0506	0.0340	intermediate	600	190	0.0858	102	0.0511
9	1	N	N	62014	Z	SR	2689	1	1.56	502	1	3	3	3	0	8.41	0.0093	0.0102	0.0370	intermediate	760	265	0.135	126	0.066
45	1	N	N	62016	Z	SR	2689	1	1.32	505	2	2	3	3	0	7.36	0.0091	0.0054	0.0414	vloeibaar	710	204	0.1208	126	0.075
30	2	Y	N	62167	Z	RR	2395	6	2.41	892	1	2	3	3	0	10.85	0.0118	0.0075	0.0460	intermediate	730	271	0.1683	134	0.0867
38	2	Y	N	62172	B	RR	2395	6	2.13	861	2	1	3	3	0	10.11	0.0135	0.0049	0.0439	vloeibaar	760	278	.	150	0.0961
42	2	Y	N	62045	Z	RR	2406	6	1.68	539	2	1	3	3	0	8.05	0.0003	0.0098	0.0469	dik	960	299	0.1547	143	0.0717
50	2	Y	N	62054	B	RR	2406	6	1.44	478	2	1	3	1	2	6.85	0.0167	0.0146	0.0395	dik	860	282	0.141	126	0.0759
6	2	Y	N	62036	B	SR	2606	3	1.05	388	1	1	2	2	0	7.13	0.0120	.	0.0348	vloeibaar	750	199	0.0727	108	0.042
14	2	Y	N	62031	Z	SR	2606	3	1.31	427	1	1	2	2	0	7.18	0.0187	0.0099	0.0357	dik	970	195	0.1003	112	0.046
22	2	Y	N	62374	B	SR	2613	4	1.47	511	1	1	3	3	0	7.31	0.0082	0.0078	0.0444	dik	640	195	0.1782	124	0.0687
34	2	Y	N	62366	Z	SR	2613	4	1.72	537	2	1	2	3	0	8.85	0.0034	0.0020	0.0477	intermediate	690	233	0.1	134	0.088
10	2	Y	N	62395	Z	SR	2656	2	1.93	435	1	1	3	3	0	8.01	0.0150	0.0109	0.0420	vloeibaar	850	216	0.1433	146	0.063
54	2	Y	N	62396	Z	SR	2656	2	1.78	452	2	1	3	3	0	6.93	0.0210	0.0081	0.0530	intermediate	650	199	0.1338	133	0.0683
17	2	Y	N	62121	Z	RR	2657	2	1.63	504	1	1	2	1	3	7.32	0.0092	0.0069	0.0389	vloeibaar	700	177	0.1577	150	0.0639
26	2	Y	N	62132	B	RR	2657	2	1.47	424	1	1	3	2	1	7.88	0.0252	0.0095	0.0457	intermediate	670	193	0.0947	126	0.0645
58	2	Y	N	62125	Z	SR	2657	2	1.26	492	2	1	3	1	3	6.95	0.0145	0.0046	0.0508	vloeibaar	810	217	0.1255	144	0.059
2	2	Y	N	62342	B	SR	2684	1	1.67	406	1	1	3	1	3	7.08	0.0139	0.0362	0.0376	vloeibaar	650	207	0.107	135	0.045
46	2	Y	N	62340	B	RR	2684	1	1.33	438	2	1	3	3	3	7.58	0.0248	0.0072	0.0360	vloeibaar	730	198	0.196	128	0.0635
15	3	N	Y	62279	Z	RR	2394	6	1.38	441	1	1	3	3	0	5.91	0.0256	0.0055	0.0385	intermediate	790	163	0.1063	130	0.0515
59	3	N	Y	62281	Z	RR	2394	6	1.33	431	2	1	3	3	0	7.16	0.0057	0.0059	0.0477	vloeibaar	830	200	0.1512	160	0.072
11	3	N	Y	62147	B	RR	2411	6	1.85	611	1	1	3	3	0	10.01	0.0168	0.0079	0.0563	intermediate	970	264	0.1439	160	0.068
23	3	N	Y	62148	B	RR	2411	6	1.82	478	1	1	3	3	0	8.18	0.0218	0.0098	0.0486	dik	730	204	0.122	144	0.0665
27	3	N	Y	62137	Z	RR	2411	6	2.01	566	1	1	3	3	0	8.51	0.0037	0.0128	0.0552	vloeibaar	840	253	.	172	.
