Sample_id	piglet	Lacae	Aacae	PAcae	IBUcae	Bacae	IVAcae	VAcae	pHcae	NH4cae	DMcae	LAile	AAile	PAile	IBUile	BAile	IVAile	VAile	pHile	NH4ile	Dmile	LAcol	AAcol	PAcol	IBUcol	BAcol	IVAcol	VAcol	pHcol	NH4col	Dmcol
1	62019	0.0	49.1	15.1	3.3	11.1	2.9	2.2	6.10	94.4	0.12	6.7	0.0	0.0	1.3	0.0	0.0	0.0	6.55	51	0.109	2.1	21.0	4.8	4.2	7.3	1.3	0.0	6.70	7	0.200
2	62342	0.0	84.8	31.1	3.0	12.6	2.6	2.1	6.62	107.0	0.14	7.0	0.9	0.0	2.2	0.0	0.0	0.0	6.45	50	0.116	8.6	32.2	7.7	4.1	15.3	1.8	1.1	6.61	15	0.218
3	62309	0.0	72.3	25.2	2.4	13.5	2.0	2.9	6.39	117.0	0.17	9.4	2.1	0.0	1.6	0.0	0.0	0.0	6.05	53	0.208	12.1	32.0	7.1	3.2	12.1	1.4	0.0	6.15	11	0.238
4	62453	0.0	67.6	24.2	3.8	16.5	3.8	3.4	6.45	140.2	0.15	7.7	4.3	0.0	2.5	0.0	0.0	0.0	6.30	75	0.146	0.0	28.9	8.9	3.9	15.5	2.1	1.2	6.14	15	0.201
5	62264	0.0	43.1	16.5	1.9	11.6	1.8	2.4	6.30	108.4	0.16	6.9	4.3	0.0	3.3	0.0	0.0	0.0	6.55	80	0.121	0.0	21.3	5.5	2.5	10.0	1.2	0.5	6.21	9	0.192
6	62036	0.0	41.6	14.0	2.0	8.9	1.8	1.7	6.30	84.8	0.13	0.2	0.6	0.0	3.9	0.0	0.0	0.0	6.39	48	0.102	0.0	8.7	2.4	1.5	5.6	0.0	0.0	6.33	4	0.092
7	62248	0.0	71.8	24.9	2.1	7.4	1.3	1.9	6.28	61.9	0.10	4.9	0.9	0.0	2.2	0.0	0.0	0.0	5.90	85	0.177	10.9	70.1	13.1	4.6	18.4	0.9	1.0	6.40	18	0.156
8	62083	0.0	94.0	29.7	3.7	16.6	2.7	2.9	5.95	121.7	0.14	3.9	1.1	0.0	2.5	0.0	0.0	0.0	6.55	48	0.130	15.5	43.0	10.4	4.1	15.0	1.4	1.0	6.06	14	0.226
9	62014	13.0	79.1	24.8	3.3	12.0	2.1	1.8	6.06	108.8	0.11	5.0	0.9	0.0	2.9	0.0	0.0	0.0	6.65	75	0.154	6.4	30.3	9.5	3.5	12.0	1.5	0.0	6.09	12	0.262
10	62395	0.0	88.5	27.0	2.0	11.2	1.3	2.1	5.92	69.8	0.13	3.8	0.8	0.0	1.9	0.0	0.0	0.0	7.08	52	0.123	0.0	69.9	16.5	2.9	14.4	0.9	1.3	6.10	15	0.161
